task,league,regime,model,auc,pr_auc,log_loss,brier,ece,precision_at_k,recall_at_k,split_id
selection,MBB,ablation,S6_conference,1.0,0.9999999999999999,0.02515678268735651,0.005261016874322803,0.0214967725299439,1.0,1.0,10.0
selection,WBB,ablation,S1_winpct,0.6937708594075929,0.40699019719599117,0.4551440044519872,0.14375717941934796,0.028642660247682427,0.38235294117647056,0.38235294117647056,0.0
selection,WBB,ablation,S2_elo,0.9999869628702545,0.999946328896522,0.038299659907299916,0.009073886528401002,0.029210768812021014,0.9926470588235294,0.9926470588235294,0.0
selection,WBB,ablation,S3_sos,0.9998565915727994,0.999416406674539,0.03789515410050807,0.00918893666267652,0.02516035757755121,0.9852941176470589,0.9852941176470589,0.0
selection,WBB,ablation,S4_efficiency,0.9997392574050897,0.9989436088869714,0.038333419869523475,0.009450605135627697,0.023551434280496233,0.9705882352941176,0.9705882352941176,0.0
selection,WBB,ablation,S5_recency,0.9997783687943262,0.9991003704514874,0.03831121869240322,0.00941908066476886,0.025311647762985643,0.9779411764705882,0.9779411764705882,0.0
selection,WBB,ablation,S6_conference,1.0,0.9999999999999999,0.030826936046053095,0.006172385000295785,0.025295841308604447,1.0,1.0,0.0
selection,WBB,ablation,S1_winpct,0.6838495115360632,0.3920483802244362,0.45570402701338947,0.14462872173532698,0.03129691569610464,0.33088235294117646,0.33088235294117646,1.0
selection,WBB,ablation,S2_elo,0.999948035751403,0.9997860934281677,0.03649155598662919,0.008682843241281941,0.027637166521358544,0.9852941176470589,0.9852941176470589,1.0
selection,WBB,ablation,S3_sos,0.9998181251299106,0.9992583629078332,0.0365552049467398,0.008945404693078453,0.02392758626403838,0.9852941176470589,0.9852941176470589,1.0
selection,WBB,ablation,S4_efficiency,0.9998181251299106,0.9992553127537844,0.03649191588551593,0.008919517575966058,0.02274611204815609,0.9852941176470589,0.9852941176470589,1.0
selection,WBB,ablation,S5_recency,0.9998311161920599,0.9993105980257879,0.03645131085921829,0.00889702950390812,0.02270804176742209,0.9852941176470589,0.9852941176470589,1.0
selection,WBB,ablation,S6_conference,1.0,0.9999999999999999,0.029191779519948276,0.005763694831251835,0.02402766452843059,1.0,1.0,1.0
selection,WBB,ablation,S1_winpct,0.6842715580855999,0.34463529064778786,0.46305706664516455,0.14720516762576158,0.029042212991488098,0.3161764705882353,0.3161764705882353,2.0
selection,WBB,ablation,S2_elo,0.9999472907442547,0.9997829242262939,0.03442706727789662,0.008117189675622336,0.027428649157130492,0.9926470588235294,0.9926470588235294,2.0
selection,WBB,ablation,S3_sos,0.9998682268606368,0.9994622454613218,0.034171616384318676,0.008206310624692025,0.020508409550145833,0.9852941176470589,0.9852941176470589,2.0
selection,WBB,ablation,S4_efficiency,0.9998286949188278,0.9992958897964387,0.03396684300103529,0.008135300484627864,0.021783202743250595,0.9852941176470589,0.9852941176470589,2.0
selection,WBB,ablation,S5_recency,0.9998286949188278,0.9992958897964387,0.03396700165851577,0.008139199606372096,0.021770874179359245,0.9852941176470589,0.9852941176470589,2.0
selection,WBB,ablation,S6_conference,0.9997759856630825,0.9991830065359476,0.02989159508735186,0.006348946151052757,0.02250599170956814,0.9926470588235294,0.9926470588235294,2.0
selection,WBB,ablation,S1_winpct,0.6955516664925296,0.3561046902018898,0.4567544889062046,0.14442361896750716,0.020884882158911044,0.38235294117647056,0.38235294117647056,3.0
selection,WBB,ablation,S2_elo,0.9999738794274371,0.9998922631525773,0.032859606413951914,0.0077690084959169264,0.024675035134136426,0.9926470588235294,0.9926470588235294,3.0
selection,WBB,ablation,S3_sos,0.9999085779960297,0.9996265112961582,0.03228025658923091,0.007726865328397854,0.021918593354622557,0.9926470588235294,0.9926470588235294,3.0
selection,WBB,ablation,S4_efficiency,0.9998563368509038,0.9994028315164023,0.03205992750269634,0.007627814326440851,0.022578890732857203,0.9926470588235294,0.9926470588235294,3.0
selection,WBB,ablation,S5_recency,0.9998432765646224,0.9993458319723986,0.03205035284092086,0.00762766017379806,0.022563132503079463,0.9926470588235294,0.9926470588235294,3.0
selection,WBB,ablation,S6_conference,0.9997649148469335,0.999128940792003,0.02778443456042326,0.0058116953132811375,0.0194185044242766,0.9926470588235294,0.9926470588235294,3.0
selection,WBB,ablation,S1_winpct,0.7558026222537206,0.4207797567823961,0.42577329846977247,0.13488763924370747,0.03565078298502764,0.45588235294117646,0.45588235294117646,4.0
selection,WBB,ablation,S2_elo,1.0,0.9999999999999999,0.03189774893104576,0.007650400246471398,0.022352266203606308,1.0,1.0,4.0
selection,WBB,ablation,S3_sos,1.0,0.9999999999999999,0.03141110970168028,0.007602810303096439,0.024975673231912892,1.0,1.0,4.0
